Years,D,J,F,M,A,M,J,J,A,S,O,N
2001,-1.3042758262557237,0.027892841334545837,-0.22317128321895807,-1.4331403355704162,-0.06061199529264963,-0.19019147437138897,-0.47265875346447495,0.04963414876465827,0.30320845836355015,0.4761115210104534,1.0376991321623783,0.7572322831085493
2002,1.1880862505927674,-0.956199132782973,0.7600464354496838,1.1896472310003803,-0.7794115758482747,0.7540510984247039,0.3581187775135566,0.9485073933251158,0.9553281929247609,0.13655205822467234,-2.185991888614744,-1.910941440374435
2003,-0.29033637068313745,-1.1000068897396018,-1.4437512502896515,-0.44297056807359614,-1.176182048886093,-1.2885875503335762,-0.4783417319694248,0.9440487103399232,0.5860493989297471,1.3142881254656906,0.4537923230293668,-0.11154095376755871
2004,1.6462748267933813,-1.9082547651771358,0.4499105271849927,1.5029105856663654,-1.952293133869977,0.4880107289110245,-2.84388616033014,0.10861708301448039,-0.6050583159897439,0.590080820686159,1.4342104676377023,0.7458450461279706
2005,0.7153663877794306,-0.1659959222946248,1.745581126649425,0.6697460339128177,-0.194066418285048,1.604761880030587,-0.964686053125158,1.684225734434107,-0.7623872762019716,0.4862812723182898,0.7855008873281657,1.1034984325229291
2006,0.11097800115279172,1.8200089647629347,-0.32451852873987685,0.053681918424495045,1.6591426721188958,-0.18092653600816894,1.4789314597096452,0.8362058870600733,-0.47122584159810643,-1.2131406626456314,-0.8704113105138146,0.6743329725508131
2007,0.7488706403784642,0.24682343723128258,-1.7430429334855733,0.5178850698756488,0.09681031042294229,-1.7036836021577313,0.14363846382026735,-0.2856563428703792,-0.7329944715736156,0.21893092240038517,0.6086457149497526,0.595022150738814
2008,-0.5674964342999541,1.2132631988820077,0.6824042726296221,-0.5808888548259354,1.284736581265029,0.48074555427845583,0.6253606266429261,1.6480970712154495,0.8729743143286368,0.24056253516066145,1.4638605727700726,1.3565886416270019
2009,-0.37561631047315264,-0.9954452884913976,0.18677450092218073,-0.14976316877745083,-1.0099994843815092,0.37580843761628446,-0.12632122636714466,-0.9949805397044246,-0.23839014204703843,0.05154453656883312,-1.7992638168633106,1.9368589354795014
2010,-1.395741389975314,0.16574428794910484,-0.48128415943948055,-1.5209803139011373,-0.03539043403921983,-0.42386745491715155,-0.5473808679858743,0.7141126342012984,-0.12291954285740214,-0.32294995525576,0.15818357635381497,0.1588602513656796
2011,1.0315889072761735,-0.18161242833698293,-1.2598421913379667,1.1477555944001507,-0.13632964834340028,-1.1048984472596617,0.48784220881751494,0.4872355226913624,1.0236216966127545,0.30885088426297364,1.0531290333065946,0.6793682092908571
2012,1.128401588837883,2.0726031808750336,0.3208994838225925,1.0969956670673575,1.9129628064304303,0.3023990404178433,0.4281596568496405,0.05258772870395456,0.3806522260644869,1.1557788857226892,-0.19974000492065302,0.18612942575674174
2013,0.9050829531053435,-1.4281430526434051,0.9368144656384805,0.9449304167876037,-1.3020616939934155,0.8970862338476799,-1.1619605949568135,-0.42238363393267225,-0.181647130732458,0.640435016189897,-1.61914262281564,-0.38748383440505063
2014,-1.7288547916516317,-0.6240336528216388,-1.122986020566119,-1.5533260506691395,-0.655533222550591,-1.0157246343205686,0.38945410764722993,1.3079940206605467,0.2155171264329936,-0.07033886046404848,1.1515838043112518,-1.8202854192027607
2015,0.9804680794844458,-0.7205737745398813,-0.8493998217862555,0.9782966674856073,-0.656165176874368,-0.788894225550892,-0.15109624368340754,-0.5386175562758876,0.979693715768708,0.6354940622610012,-0.33500846263876694,0.3396096700421763
2016,0.8560567596353008,-0.7307711281520393,0.5994232750198794,0.6670719098469616,-0.9592438640239467,0.5392848034821619,0.24876400972832136,-0.1789689303615121,-1.7244502052399953,0.10512780450969447,-0.3826868149599474,1.82636511127277
2017,-0.7674258028993511,0.6175205675736971,0.21751746968049107,-0.7549402097479136,0.6011004933136999,0.21639700190767316,-0.23189402654192298,-0.32210857943306165,0.6258472487646398,-0.1253576971898418,0.27732133117690855,-0.15598849141232263
2018,-1.12106137656375,-0.08970601597182626,-0.3929059707536431,-1.030012078840926,-0.01347553239152166,-0.14897397313034288,-0.1036753673873072,1.254845299502994,1.4408366634830179,-0.6375745075045722,-1.582388457151867,-1.9221054479593125
2019,0.15227826957058582,0.39516803394079103,-2.0728197638380292,0.04948825107895177,0.4135860176340902,-1.8764184964473531,-0.11484809992291878,-0.6716176038967925,0.049738891177024736,-0.24265315864831294,-0.15887461488141336,-0.8427987410083011
2020,0.17906889245508523,0.38170628453358363,0.45879379941057397,0.3004508740452072,0.4589523336909512,0.4070340148973616,1.983077327111788,0.5982987453175288,0.05501786386301319,0.45166438339457793,-0.04182175488037376,0.9401445199246133
